 Designator , Function , Value / Part , Package , Qty , Price (USD) , Link ,,
---,---,---,---,---,---,---,,
 U1 , MCU Module , ESP32-S3-WROOM-2 N32R16V , LCC-54 ,1,$12,[Mouser](https://www.mouser.bg/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-2-N32R16V?qs=%252BHhoWzUJg4Kf%2FwmS40wg%252BQ%3D%3D&srsltid=AfmBOopjud5fwNEdPJr_Fcp_F6RRXBi_0mpNTvMmjx49w7TWEqiv5xGV) ,,
 U79�U142 , Hall Effect Sensor , AH1806-W-7 , SOT-23 ,64,$20 ,[Mouser](https://www.mouser.com/ProductDetail/Diodes-Incorporated/AH1806-W-7?qs=eSfX1CQlHqqRKgthoXGrzg%3D%3D&srsltid=AfmBOoqvt9XKLP8jc6GHH0L_jmNus1_TszQpJJyJu60i3bDtAeJsRl4r) ,,
 U6�U13 , Shift Register , 74HC165BQ_115 , QFN-17 , 8(10) ,$2.21,[Mouser](https://www.mouser.bg/ProductDetail/Nexperia/74HC165BQ115?qs=P62ublwmbi86viaf9iloMA%3D%3D&srsltid=AfmBOop67e87aW457vff1BOXmou8TWC8JPC6vrp5882xNvyS27eVy15c) ,,
 U14�U77 , Addressable RGB LED , APA102C , SON-6 (5050) , 64(100) ,$10.50,[AliExpress](https://www.aliexpress.com/item/1005008174203527.html) ,,
 U143 , Level Shifter , SN74AHCT125DR , SOIC-14 ,1,$0.46,[Mouser](https://www.mouser.bg/ProductDetail/Texas-Instruments/SN74AHCT125DR?qs=B7lSdIxWQkm9VQkJOjfRaA%3D%3D) ,,
 DS2 , OLED Display , 128�32 2.23" I2C , SSD1305 ,1,$10,[AliExpress](https://www.aliexpress.com/item/1005008489357042.html?spm=a2g0o.productlist.main.9.1cd31P5n1P5nfd&algo_pvid=10006fad-7505-426f-8c02-2c3dbc745dfc&algo_exp_id=10006fad-7505-426f-8c02-2c3dbc745dfc-8&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MKD%21567.22%21567.22%21%21%2165.40%2165.40%21%40212e520f17815127163675148eea9b%2112000045367691230%21sea%21MK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aaeed944%3Bm03_new_user%3A-29895&curPageLogUid=1Bi8k4hGK8K7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008489357042%7C_p_origin_prod%3A#nav-description) ,,
" BT1, BT2 ", 18650 Battery Holder , Keystone 1043 , THT ,2,$6.82,[Mouser](https://www.mouser.com/ProductDetail/Keystone-Electronics/1043?utm_campaign=mouser&qs=%2F7TOpeL5Mz6j%2FnxeOA1rsg%3D%3D&utm_medium=online&utm_source=snapedaonline&utm_content=modelunipart_id=214578&manufacturer=Keystone) ,,
 U3 , Li-Ion Charger IC , BQ24074RGT , VQFN-16 ,1,$2.48 , [Mouser](https://www.mouser.bg/ProductDetail/Texas-Instruments/BQ24074RGTR?qs=ZV%2Fxhq4oszp2Nll7fIx5wg%3D%3D&srsltid=AfmBOopf_GDP2yO0D5PAa7cuepwFxpUxXFdTjUaKyMCHw1c4K6qqB7_Z) ,,
 U4 , Boost Converter (5V) , TPS61023DRLT , SOT-6 ,1,$1.40 , [Mouser](https://www.mouser.bg/ProductDetail/Texas-Instruments/TPS61023DRLT?qs=BJlw7L4Cy78Zr3IJIU3gNw%3D%3D) ,,
 1uH1 , Power Inductor , XEL4030-102MEC (1uH) , XEL4030 ,1,$2.17 , [Mouser](https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4653188&manufacturer=Coilcraft&part_name=XEL4030-102MEC&search_term=None) ,,
 U5 , 3.3V LDO Regulator , AP2112K-3.3TRG1 , SOT-25 ,1,$0.25 , [Mouser](https://www.mouser.bg/ProductDetail/Diodes-Incorporated/AP2112K-3.3TRG1?qs=x6A8l6qLYDDPYHosCdzh%2FA%3D%3D) ,,
 U144 , USB ESD Protection , USBLC6-2P6 , SOT-666 ,1,$0.63 , [Mouser](https://www.mouser.bg/ProductDetail/STMicroelectronics/USBLC6-2P6?qs=6ARB0lp6jlViGcbUSvj1Mw%3D%3D) ,,
" U145, U146 ", PTC Resettable Fuse,RUEF300 (3A) , Radial ,2,$1 , [AliExpress](https://www.aliexpress.com/item/1005003699936643.html?spm=a2g0o.productlist.main.2.1515qUETqUETL7&algo_pvid=1ab326b7-57ac-4a5e-9c91-1f0688d12436&algo_exp_id=1ab326b7-57ac-4a5e-9c91-1f0688d12436-1&pdp_ext_f=%7B%22order%22%3A%2269%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MKD%2140.94%2140.94%21%21%210.70%210.70%21%402101529317817805763092080ee682%2112000026854019128%21sea%21MK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Acd05e435%3Bm03_new_user%3A-29895&curPageLogUid=hEJCwyMy2faS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003699936643%7C_p_origin_prod%3A) ,,
 TH1 , NTC Thermistor , NTCG103JF103FT1S ,0402,1,$0.11 , [Mouser](https://www.mouser.bg/ProductDetail/TDK/NTCG103JF103FT1S?qs=cNoPOocMWw11FEwwc%2F4vOg%3D%3D) ,,
